Date,MMM_Volume,MMM_Close,AOS_Volume,AOS_Close,ABT_Volume,ABT_Close,ABBV_Volume,ABBV_Close,ACN_Volume,ACN_Close,ADBE_Volume,ADBE_Close,AMD_Volume,AMD_Close,AES_Volume,AES_Close,AFL_Volume,AFL_Close,A_Volume,A_Close,XLK_Volume,XLK_Close,XLF_Volume,XLF_Close,XLI_Volume,XLI_Close,XLV_Volume,XLV_Close,XLY_Volume,XLY_Close,XLP_Volume,XLP_Close,XLU_Volume,XLU_Close,XLRE_Volume,XLRE_Close,XLC_Volume,XLC_Close,XLE_Volume,XLE_Close,XLB_Volume,XLB_Close,SPY_Volume,SPY_Close,sp500_Volume,sp500_Close
2018-02-09,5404246,141.66175842285156,1271800,52.71715545654297,8028400,49.34923553466797,8909300,78.33917236328125,3656800,135.55824279785156,3818800,187.99000549316406,85458200,11.3100004196167,10305200,7.622445106506348,5242600,34.9581184387207,4517000,62.94017791748047,72700400,29.314594268798828,149504900,23.678831100463867,40362500,64.24420928955078,35535700,71.40995788574219,42795200,46.57083511352539,34912000,43.04642868041992,72845000,18.732288360595703,9654500,22.820241928100586,,,70348200,23.370594024658203,52835000,24.738027572631836,283565300,230.16339111328125,5690110000,2619.550048828125
2018-02-12,3935318,144.16526794433594,1063600,53.59925079345703,8234200,49.5564079284668,4823300,78.7825927734375,2273700,136.53631591796875,2824700,192.14999389648438,63160900,11.680000305175781,9008800,7.674754619598389,3779200,35.106571197509766,4227600,64.30270385742188,35629600,29.840620040893555,83571800,24.012453079223633,20776900,65.27999877929688,13389200,72.07968139648438,25119000,47.203609466552734,21013600,43.48723220825195,53008800,18.87502098083496,5294500,22.88091468811035,,,49913800,23.752685546875,20940400,25.237701416015625,143736000,233.54322814941406,4069220000,2656.0
2018-02-13,3018226,145.53024291992188,773900,54.24783706665039,5816600,49.75493240356445,5316200,78.73335266113281,2059500,138.2017059326172,1961300,193.47999572753906,33661400,11.779999732971191,6312200,7.712119102478027,3533800,35.49420928955078,1825500,64.21814727783203,19084000,29.914457321166992,43365500,24.1151123046875,12974600,65.42796325683594,8415200,72.13187408447266,10301600,47.44840621948242,11994500,43.687599182128906,50134400,18.95988655090332,3049300,23.047761917114258,,,24570000,23.654537200927734,13552600,25.174179077148438,81223600,234.12411499023438,3503540000,2662.93994140625
2018-02-14,2796009,145.9328155517578,939100,55.39799499511719,3728900,50.3073616027832,6189100,79.59201049804688,2583200,140.80111694335938,2542400,197.1300048828125,51756800,12.199999809265137,5931500,7.674754619598389,4493400,36.145790100097656,3637800,65.49613189697266,32117600,30.463546752929688,57379700,24.688261032104492,13482800,66.25484466552734,10110800,72.94952392578125,13462600,48.205867767333984,20370500,43.66355514526367,40682200,18.747718811035156,4055300,22.903667449951172,,,39513800,23.998064041137695,15999400,25.512943267822266,120735700,237.2838897705078,4011940000,2698.6298828125
2018-02-15,2544490,148.6092529296875,1186700,56.4097785949707,3871900,51.36048889160156,7401100,80.8730697631836,1854900,141.9202423095703,2233300,202.97000122070312,59593800,12.1899995803833,7138200,7.861579418182373,3425400,36.46332931518555,4899100,67.67615509033203,24305000,31.044950485229492,66976000,24.82513427734375,10800400,67.25580596923828,9519100,73.75839233398438,11181600,48.63541030883789,14788900,44.38487243652344,33008200,19.164337158203125,2924100,23.11601448059082,,,32938800,23.9384708404541,12298200,25.7034969329834,111200300,240.3116912841797,3696140000,2731.199951171875
2018-02-16,2657273,149.7481689453125,1723900,56.677879333496094,7849200,51.93882751464844,8717000,83.47734069824219,1997900,143.3301239013672,2172600,201.55999755859375,47332300,11.819999694824219,5665600,7.809269428253174,4285000,36.970558166503906,2887100,67.62919616699219,20334200,30.998807907104492,47508200,24.790916442871094,11161700,67.27320861816406,9323000,74.28897857666016,9497200,48.39986801147461,11591600,44.561195373535156,40133000,19.334070205688477,7702800,23.267690658569336,,,27582200,23.878883361816406,16917000,25.61033821105957,160420100,240.382080078125,3646920000,2732.219970703125
2018-02-20,3200376,148.73580932617188,1214200,56.59139633178711,8182500,51.0324821472168,8751400,83.04093170166016,1425700,142.255126953125,2722700,202.97999572753906,47096500,12.020000457763672,7467400,7.771903991699219,4555000,36.88346862792969,2580400,66.79286193847656,33835200,31.026498794555664,58236100,24.713926315307617,11838900,66.59430694580078,8872100,73.47135162353516,11751400,48.25205612182617,16069800,43.551353454589844,33546600,19.083330154418945,12237200,23.0325927734375,,,35616200,23.749176025390625,10487400,25.49599838256836,86369700,238.87704467773438,3646920000,2716.260009765625
2018-02-21,3063434,146.90719604492188,1026300,56.539512634277344,4793800,50.920257568359375,5122500,82.9916763305664,1628600,141.39157104492188,2043500,202.08999633789062,40195800,11.720000267028809,5365600,7.64486026763916,4553400,36.86685562133789,1995600,66.95262908935547,29102400,30.828081130981445,44578800,24.748140335083008,8650500,66.6117172241211,9417400,73.16693115234375,9906200,48.18278121948242,15207400,43.03041076660156,44922800,18.83258628845215,3924000,22.60788917541504,,,25090800,23.349559783935547,9994600,25.40707778930664,98883700,237.68875122070312,3789040000,2701.330078125
2018-02-22,2732262,149.32424926757812,772900,56.69517517089844,5539900,50.920257568359375,5185700,82.7453384399414,1511700,141.26820373535156,1541500,202.61000061035156,37886300,11.84000015258789,6706800,7.697170734405518,4205000,36.721683502197266,2403400,66.41702270507812,21958800,30.8649959564209,47602700,24.542837142944336,10545200,67.05561065673828,6316100,73.05386352539062,8887600,48.242820739746094,10239200,43.14261245727539,40257800,18.929027557373047,2969600,22.865741729736328,,,30660600,23.60545539855957,9058800,25.57646369934082,110511300,237.99684143066406,3720620000,2703.9599609375
2018-02-23,1933573,149.96963500976562,751700,57.430233001708984,5190400,51.54175567626953,4685700,83.5829086303711,1577200,143.58563232421875,2349300,209.74000549316406,33317600,12.069999694824219,4672300,7.839160442352295,3153400,37.15308380126953,4227000,66.43577575683594,20772400,31.510990142822266,41187300,24.910680770874023,6603300,67.61267852783203,5498500,74.21939086914062,5986000,48.917152404785156,10321100,43.559364318847656,41284800,19.422792434692383,3106500,23.28286361694336,,,31369600,24.117244720458984,7064000,25.95332908630371,92766400,241.7903594970703,3200360000,2747.300048828125
